experiment,repetition,sampleIndex,raw,filtered
6,1,839,358,357
6,1,840,358,357
6,1,841,354,355
6,1,842,354,354
6,1,843,354,354
6,1,844,354,355
6,1,845,358,357
6,1,846,358,359
6,1,847,361,358
6,1,848,358,359
6,1,849,358,362
6,1,850,369,365
6,1,851,369,368
6,1,852,367,369
6,1,853,367,367
6,1,854,367,367
6,1,855,367,369
6,1,856,373,371
6,1,857,373,373
6,1,858,375,375
6,1,859,375,374
6,1,860,374,375
6,1,861,374,375
6,1,862,376,375
6,1,863,376,375
6,1,864,375,376
6,1,865,375,375
6,1,866,376,372
6,1,867,367,370
6,1,868,367,369
6,1,869,371,369
6,1,870,371,373
6,1,871,373,372
6,1,872,373,368
6,1,873,361,366
6,1,874,361,365
6,1,875,369,365
6,1,876,369,367
6,1,877,361,364
6,1,878,361,359
